Quantum,N,AWT,ART,ATT,#CS
0.05,50,173.24353999999914,10.413340000000003,179.3035399999992,930
0.1,50,165.21603999999985,17.461719999999993,171.27603999999985,439
0.15000000000000002,50,147.30036000000038,26.322290000000017,153.36036000000036,257
0.2,50,144.52187999999973,31.109720000000028,150.58187999999973,198
0.25,50,135.2738999999996,40.43840000000001,141.3338999999996,157
0.3,50,126.38004000000029,47.67410000000002,132.4400400000003,124
0.35,50,127.29939000000005,50.63644999999999,133.35939000000005,115
0.39999999999999997,50,117.69047999999987,58.60600000000003,123.75047999999988,97
0.44999999999999996,50,111.38442000000013,65.04636999999998,117.44442000000014,82
0.49999999999999994,50,111.77939999999998,66.7693,117.83939999999998,79
0.5499999999999999,50,110.87366999999996,69.92420999999996,116.93366999999996,75
0.6,50,101.70060000000008,81.36060000000003,107.76060000000008,64
0.65,50,102.41565,82.07565000000001,108.47565,64
0.7000000000000001,50,97.41029999999999,87.8703,103.4703,59
0.7500000000000001,50,95.26515000000003,90.52515,101.32515000000004,56
0.8000000000000002,50,95.40816,90.66816,101.46815999999998,56
0.8500000000000002,50,93.81461999999999,92.37462,99.87462,53
0.9000000000000002,50,93.12,93.12,99.18,49
0.9500000000000003,50,93.12,93.12,99.18,49
0.05,100,406.8483849999994,24.429265000000072,413.7383849999994,1749
0.1,100,385.65763999999564,39.62060000000001,392.54763999999574,839
0.15000000000000002,100,368.6391350000028,53.125259999999905,375.5291350000028,554
0.2,100,339.64500000000066,76.19699999999997,346.53500000000054,397
0.25,100,333.58304999999933,87.64810000000006,340.4730499999994,321
0.3,100,308.68734000000006,110.96942000000008,315.57734000000005,260
0.35,100,285.9201299999995,133.61564000000007,292.8101299999995,215
0.39999999999999997,100,267.1932000000001,156.08360000000002,274.0832000000001,186
0.44999999999999996,100,265.85804999999993,160.08905000000007,272.7480499999999,170
0.49999999999999994,100,254.80920000000006,172.07600000000002,261.6992000000001,156
0.5499999999999999,100,245.15741999999995,183.29176999999999,252.04741999999996,143
0.6,100,240.9546,189.64460000000005,247.84459999999999,130
0.65,100,234.45299999999986,199.643,241.34299999999985,124
0.7000000000000001,100,235.614,200.804,242.50400000000002,124
0.7500000000000001,100,227.25479999999982,210.48480000000004,234.1447999999998,116
0.8000000000000002,100,222.14639999999997,216.29640000000003,229.03639999999996,109
0.8500000000000002,100,219.36,219.36,226.25,99
0.9000000000000002,100,219.36,219.36,226.25,99
0.9500000000000003,100,219.36,219.36,226.25,99
0.05,150,437.7603999999966,34.00963666666652,442.8870666666634,2471
0.1,150,415.051533333328,49.532880000000176,420.1781999999946,1178
0.15000000000000002,150,399.72269333332935,63.29467333333364,404.849359999996,769
0.2,150,380.23296000000136,77.97375999999996,385.35962666666796,565
0.25,150,349.78693333333536,100.60361666666648,354.913600000002,428
0.3,150,342.7449599999998,110.99699999999997,347.8716266666665,360
0.35,150,314.2251633333315,138.4998166666667,319.3518299999982,307
0.39999999999999997,150,310.87485333333365,146.01693333333324,316.0015200000003,272
0.44999999999999996,150,291.9411800000003,168.75761333333338,297.067846666667,242
0.49999999999999994,150,267.0514000000004,199.46473333333316,272.17806666666706,201
0.5499999999999999,150,269.77854000000025,202.1918733333335,274.9052066666669,201
0.6,150,256.21687999999995,219.43021333333328,261.3435466666666,186
0.65,150,244.85996666666662,233.45996666666667,249.98663333333332,169
0.7000000000000001,150,245.2507333333331,233.85073333333324,250.37739999999977,169
0.7500000000000001,150,239.78,239.78,244.90666666666667,149
0.8000000000000002,150,239.78,239.78,244.90666666666667,149
0.8500000000000002,150,239.78,239.78,244.90666666666667,149
0.9000000000000002,150,239.78,239.78,244.90666666666667,149
0.9500000000000003,150,239.78,239.78,244.90666666666667,149
0.05,200,601.2236999999733,46.55477749999971,606.5386999999733,3292
0.1,200,570.1304149999833,66.76727000000001,575.4454149999833,1567
0.15000000000000002,200,559.0684850000009,86.21571500000006,564.383485000001,1060
0.2,200,519.4112900000003,104.45208000000001,524.7262900000004,752
0.25,200,489.5336499999944,138.32951249999985,494.8486499999943,596
0.3,200,474.1278049999961,153.38341500000013,479.44280499999616,501
0.35,200,438.0481250000009,194.0918624999995,443.3631250000009,424
0.39999999999999997,200,400.00330000000025,235.79370000000003,405.3183000000001,345
0.44999999999999996,200,397.9410124999988,242.17166249999948,403.25601249999886,329
0.49999999999999994,200,370.255399999998,270.9288749999996,375.570399999998,287
0.5499999999999999,200,356.33695000000114,290.0719500000003,361.65195000000114,255
0.6,200,358.7894000000001,292.5244,364.1044000000001,255
0.65,200,345.5079499999998,309.6429499999999,350.8229499999998,239
0.7000000000000001,200,346.75009999999946,310.88509999999974,352.06509999999946,239
0.7500000000000001,200,333.0147875000002,325.36478750000003,338.32978750000007,217
0.8000000000000002,200,329.36,329.36,334.675,199
0.8500000000000002,200,329.36,329.36,334.675,199
0.9000000000000002,200,329.36,329.36,334.675,199
0.9500000000000003,200,329.36,329.36,334.675,199
